estado,populacao,indice_renda_per_capta,porcentagem_nivel_basico,porcentagem_sem_nivel_medio,porcentagem_com_nivel_superior,porcentagem_desempregados,porcentagem_de_roubos_a_cada_100_mil
AK,283932,18068.33333,3.3,10.14,26.85,6.46,651
AL,1686941,13065.65116,11.71,28.75,19.26,6.03,5836
AR,816863,11245.76,13.12,29.94,15.11,6.58,2565
AZ,2516233,15380.05,5.665,17.04,20.325,6.315,5850
CA,22199337,17181.97473,7.54,20.32,20.42,5.56,113334
CO,1935534,13817.16,5.4,15.48,25.08,5.17,3736
CT,2558780,21893.33333,7.21,18.6,26.44,4.43,6269
DC,606900,18881,9.56,26.85,33.31,7.03,7107
DE,27630,14105,6.21,17.79,26.54,4.07,78
FL,4594142,15781.33333,7.265,22.895,17.825,5.44,27216
GA,1588368,12668.25,13.77,33.85,17.67,7.5,10361
IA,768080,13885.53333,7.16,19.15,19.42,4.95,886
ID,182601,11394,5.93,18.035,19.235,6.09,53
IL,4371689,20664.625,4.945,12.655,29.815,3.265,37848
IN,2359805,13440.46809,8.12,25.05,13.68,5.58,5346
KS,304011,14516,5.75,18.13,22.73,5.8,1327
KY,774338,11665.45833,14.545,30.795,14.4,6.93,2033
LA,1537451,10216.04545,14.115,31.345,18.38,10.915,9340
MA,4233537,18440.66972,4.65,15.79,24.52,5.81,8847
MD,981159,14658.66667,9.085,25.055,20.99,5.25,13074
ME,342185,13818.71429,8.23,20.235,20.26,5.88,215
MI,4660429,15286.62264,7,22.05,15.805,6.22,20885
MN,1983292,15737.57143,4.34,12.68,20.89,4.28,3906
MO,1536249,15141.73171,7.89,21.65,18.13,5.01,5215
MS,642086,11454.3,12.075,28.59,18.74,9.105,2401
NC,2049543,12568.26087,13.095,32.44,16.33,5.41,9817
ND,236038,12285.83333,10.43,17.515,23.725,4.745,43
NH,495724,16745.77778,5.96,16.06,24.885,5.715,242
NJ,5776198,19982.9802,7.03,20.245,23.92,4.54,22142
NM,582205,10489.2,14.105,29.095,16.48,7.375,1725
NV,523021,15787.8,5.04,17.7,17.34,5.39,4216
NY,9449895,14600.43182,9.055,26.285,19.31,6.93,94394
OH,4786376,14597.68519,7.27,23.02,14.935,5.695,18332
OK,1716948,11915.8,8.47,24.6,17.76,6.58,3644
OR,1329209,13158.16129,6.58,18.34,18.81,6.09,3354
PA,4161249,15941.70213,7.45,20.105,20.705,4.06,18430
RI,841002,16079,8.65,25.34,21.26,5.48,1001
SC,791754,12809.67857,10.02,25.065,21.475,5.23,3194
SD,249252,10992.875,11.68,18.78,22.675,4.29,84
TN,1685221,13462.54286,13.33,29.57,17.76,6.23,7631
TX,8973930,12612.05732,12.08,28.99,16.2,6.83,25285
UT,782444,10788.18182,2.785,13.555,21.36,5.585,774
VA,2216217,14168.81818,10.42,24.56,18.78,4.82,6627
VT,70166,15675.66667,8.34,17.64,34.8,6.24,14
WA,1931706,14320.12821,5.3,16.83,18.46,6.18,5480
WI,2279188,14719.76471,7.74,18.98,19.94,4.04,5409
WV,347532,12492.14286,11.7,26.825,17.885,8.02,573
WY,136994,13160.66667,4.255,14.705,17.05,5.21,36